Category,Feature / Indicator,Data Type,Missing Records,Baseline Statistics / Classes
Demographics,Student Age,Numeric,0,Mean: 20.1 \pm 1.7 (Range: 18-25)
Demographics,Student Gender,Categorical,6,"Male: 175, Female: 187, Non-Binary: 21"
Academic,Academic GPA,Numeric,7,Mean: 3.05 \pm 0.38
Lifestyle,Study Hours / Week,Numeric,0,Mean: 15.4 \pm 5.2 hours
Lifestyle,Sleep Duration (Hours),Numeric,8,Mean: 7.4 \pm 1.0 hours
Lifestyle,Daily Screen Time,Numeric,0,Mean: 7.0 \pm 2.6 hours
Wellbeing,Depressive Mood Severity,Ordinal (0-5),7,Mean: 0.22 \pm 0.46
Target Class,Psychological Risk Level,Discrete (0-2),0,"Low: 123 (30.8\%), Med: 189 (47.2\%), High: 88 (22.0\%)"
